Well_ID,Well_Name,lat_dec,long_dec,GSE,AquiferID,Aquifer_Name
411610111583801, (B- 6- 1) 8caa- 4,41.26938827,-111.9779973,4270.0,3,East Shore Area
411610112132501, (B- 6- 3) 7dbd- 1,41.26938715,-112.2243862,4215.0,3,East Shore Area
411611112072101, (B- 6- 3)13aad- 2,41.26966556,-112.1232753,4219.0,3,East Shore Area
411618111583800, (B- 6- 1) 8bdd- 1,41.2716104,-111.9779973,4285.0,3,East Shore Area
411620111570401, (B- 6- 1) 9adb- 2,41.2721656,-111.9518857,4415.0,3,East Shore Area
411620112022901, (B- 6- 2)11bcb- 1,41.27216599,-112.0421643,4234.0,3,East Shore Area
411621111570500, (B- 6- 1) 9adb- 1,41.27244338,-111.9521635,4418.0,3,East Shore Area
411624112082401, (B- 6- 3)12bcc- 1,41.27327639999999,-112.1407754,4216.0,3,East Shore Area
411626112024801, (B- 6- 2)10aac- 1,41.27383256,-112.04744209999998,4232.0,3,East Shore Area
411629112063901, (B- 6- 2) 7bcb- 3,41.27466544,-112.1116088,4218.0,3,East Shore Area
411630112082101, (B- 6- 3)12bcb- 1,41.274943,-112.13994199999999,4212.0,3,East Shore Area
411630112100601, (B- 6- 3)10acb- 2,41.2749428,-112.16910870000001,4215.0,3,East Shore Area
411633112051701, (B- 6- 2) 8abd- 2,41.27577666,-112.088831,4235.0,3,East Shore Area
411635112094701, (B- 6- 3)10aac- 2,41.27633170000001,-112.163831,4215.0,3,East Shore Area
411637111584601, (B- 6- 1) 8bab- 1,41.276888,-111.9802196,4300.0,3,East Shore Area
411637112070901, (B- 6- 2) 7bbd- 3,41.2768875,-112.11994209999999,4225.0,3,East Shore Area
411637112071701, (B- 6- 2) 7bbc- 6,41.2768875,-112.1221644,4224.0,3,East Shore Area
411641112032801, (B- 6- 2) 3cdd- 1,41.27799899,-112.0585533,4231.0,3,East Shore Area
411647111584001, (B- 6- 1) 5cdb- 1,41.27966569,-111.978553,4308.0,3,East Shore Area
411655112134001, (B- 6- 3) 6cda- 1,41.28188660000001,-112.2285533,4210.0,3,East Shore Area
411658112063901, (B- 6- 2) 6dbc- 5,41.28272068,-112.111609,4221.0,3,East Shore Area
411658112071900, (B- 6- 3) 1dad- 1,41.2827206,-112.12272,4220.0,3,East Shore Area
411659112065101, (B- 6- 2) 6cad- 3,41.2829984,-112.1149423,4215.0,3,East Shore Area
411702112000400, (B- 6- 1) 6cba- 1,41.28383248,-112.00188680000001,4270.0,3,East Shore Area
411702112063501, (B- 6- 2) 6dbb- 2,41.28383176,-112.1104979,4219.0,3,East Shore Area
411702112070801, (B- 6- 2) 6cbd- 1,41.28383170000001,-112.1196645,4219.0,3,East Shore Area
411702112071701, (B- 6- 2) 6cbc- 2,41.28383168,-112.1221645,4219.0,3,East Shore Area
411704111594701, (B- 6- 1) 6caa- 1,41.28438798,-111.9971645,4289.6,3,East Shore Area
411704112044201, (B- 6- 2) 4cba- 1,41.2843875,-112.079109,4225.0,3,East Shore Area
411705111591001, (B- 6- 1) 6daa- 3,41.284665600000004,-111.9868865,4308.0,3,East Shore Area
411706111592001, (B- 6- 1) 6dab- 3,41.2849434,-111.98966440000001,4302.0,3,East Shore Area
411707112043001, (B- 6- 2) 4bdd- 1,41.2852208,-112.0757757,4226.0,3,East Shore Area
411708112004201, (B- 6- 2) 1acd- 6,41.285499,-112.01244240000001,4276.0,3,East Shore Area
411708112051601, (B- 6- 2) 5acd- 1,41.285498499999996,-112.08855349999999,4232.0,3,East Shore Area
411708112105701, (B- 6- 3) 4dab- 1,41.28549787,-112.1832757,4215.0,3,East Shore Area
411717112044400, (B- 6- 2) 4bca- 1,41.28799847,-112.0796646,4235.0,3,East Shore Area
411717112044500, (B- 6- 2) 4bca- 2,41.28799847,-112.07994240000001,4235.0,3,East Shore Area
411717112053301, (B- 6- 2) 5acb- 2,41.28799838,-112.09327579999999,4239.0,3,East Shore Area
411719111572801, (B- 6- 1) 4bda- 1,41.288554,-111.9585527,4384.0,3,East Shore Area
411719112015301, (B- 6- 2) 2aca- 2,41.288554299999994,-112.0321646,4243.0,3,East Shore Area
411719112015401, (B- 6- 2) 2aca- 1,41.288554299999994,-112.03244240000001,4243.0,3,East Shore Area
411719112072101, (B- 6- 3) 1ada- 1,41.2885537,-112.12327579999999,4216.0,3,East Shore Area
411720111565301, (B- 6- 1) 4add- 1,41.28883167,-111.94883030000001,4480.0,3,East Shore Area
